temperature,Cavett_Tpc,Cavett_Ppc
403.15,591.2130142489518,4.129772543408667
438.15,638.1511660244665,4.293512021289593
463.15,674.9286879420445,4.531876049666855
483.15,697.7513961105325,4.548620130094947
503.15,716.7816450751059,4.462765457014959
523.15,735.8936425774953,4.38692559772184
543.15,755.7093730902589,4.339598440439741
563.15,776.447675092119,4.327544391744787
583.15,796.9776937247552,4.316781710584267
603.15,816.2675911408033,4.2752542619964355
623.15,835.9432727182298,4.251822501781357
